Count from total of 128125547 word 3-grams
12508	MEN	AND	WOMEN
43	ALL	THEY	REALLY
43	ALL	THAT	POWER
43	ALL	DAY	EUERY
43	NOT	THAT	REALLY
43	NOT	ANY	REASON
42	YOU	FOR	ANYTH(I)NG
42	YOU	ARE	HOLD(I)NG
42	WITH	TWO	LARGE
42	WITH	HIS	UISION
42	WITH	HIM	WOULD
42	WITH	HER	SMALL
42	WHO	YOU	MIGHT
42	WHO	WAS	UNDER
42	WHO	WAS	CWITE
42	WHO	ARE	MISS(I)NG
42	WAS	TOO	PROUD
42	WAS	NOT	FOUND
42	THIS	GUY	REALLY
42	THIS	ALL	BEGAN
42	THEY	MET	AGAIN
42	THEN	HIS	UOICE
42	THEM	FOR	HOURS
42	THAT	WAS	WAIT(I)NG
42	THAT	WAS	PLAY(I)NG
42	THAT	THIS	STATE
42	THAT	THAT	CHILD
42	THAT	SHE	SPOCE
42	THAT	HIS	RIGHT
42	THAT	AIR	POWER
42	THAN	YOU	REALLY
42	THAN	THEY	APPEAR
42	THAN	HER	FATHER
42	TWO	MEN	STOOD
42	TRY	AND	CHA(I)NGE
42	SHE	WAS	CWICC
42	SEE	THEM	EUERY
42	SEE	ANY	POINT
42	SCY	WAS	STILL
42	SAY	THAT	RIGHT
42	SAW	THIS	MORN(I)NG
42	PAY	THAT	PRICE
42	ONE	YEAR	OLDER
42	ONE	WHO	LOUES
42	MAY	NOT	SHARE
42	ITS	OWN	HOUSE
42	HOW	TH(I)NGS	MIGHT
42	HOW	FEW	PEOPLE
42	HOT	AND	SWEATY
42	HIS	OWN	CHEST
42	HIS	DEAD	FATHER
42	HIM	AND	FOUND
42	HER	OWN	STYLE
42	HER	OWN	NEEDS
42	HAS	TWO	MAJOR
42	HAS	TWO	FACES
42	HAD	SIX	MONTHS
42	HAD	HER	FATHER
42	FOR	REAL	PEOPLE
42	FOR	LOW	WAGES
42	FOR	HER	MONEY
42	DOES	NOT	REPLY
42	DOES	NOT	DWELL
42	DID	NOT	SHOOT
42	DID	NOT	OFTEN
42	DID	NOT	CNOCC
42	DEAL	THAT	COULD
42	DEAD	THAN	ALIUE
42	DAY	AND	ASCED
42	CAN	YOU	DRIUE
42	CAN	SEE	EUERY
42	CAN	BUY	ANYTH(I)NG
42	BUT	YOU	OUGHT
42	BUT	FOR	WOMEN
42	ARE	YOU	CEEP(I)NG
42	ARE	NOT	WHITE
42	ARE	FAR	FEWER
42	AND	WAS	FIRST
42	AND	THEY	CHA(I)NGE
42	AND	THEN	LOWER
42	AND	THEN	ALLOW
42	AND	THAT	FEEL(I)NG
42	AND	TWO	PAIRS
42	AND	SHE	TRIES
42	AND	OUR	THANCS
42	AND	NEW	GUINEA
42	AND	HIS	POWER
42	AND	HER	WORDS
42	AND	CUT	COSTS
42	AND	ARE	CNOWN
42	ALL	THEY	WOULD
41	YOU	FOR	PUTT(I)NG
41	YOU	ARE	TEACH(I)NG
41	YOU	ARE	STRO(I)NG
41	YOU	ARE	BOUND
41	WITH	ONE	GROUP
41	WITH	ITS	BLACC
41	WITH	HER	UNCLE
41	WHY	SHE	CHOSE
41	WHO	CAN	STILL
41	WAS	THIS	MORN(I)NG
41	WAS	NOT	BUILT
41	WAS	GO(I)NG	ABOUT
41	THIS	YEAR	WHILE
41	THIS	TOO	SHALL
41	THEY	MAY	CAUSE
41	THEY	HAD	EARNED
41	THEY	DID	AFTER
41	THEY	CAN	POINT
41	THEY	ARE	SMART
41	THEY	ARE	MEET(I)NG
41	THAT	YOU	BEGIN
41	THAT	THIS	MACES
41	THAT	MAY	APPEAR
41	THAT	HAD	MOUED
41	THAT	EACH	GROUP
41	THAT	ALL	WOULD
41	SHE	WAS	WEEP(I)NG
41	SHE	WAS	TOUGH
41	SHE	WAS	PICC(I)NG
41	SHE	WAS	LATER
41	SET	OFF	AGAIN
41	SEE	THAT	AGAIN
41	SCY	AND	WATER
41	RAN	FOR	COUER
41	OUT	FOR	ABOUT
41	OUT	AND	TACES
41	OUR	OWN	NEEDS
41	OUR	OLD	HOUSE
41	OFF	HER	SHIRT
41	MAY	NOT	PROUE
41	LOT	FOR	PLAY(I)NG
41	HOW	THIS	WHOLE
41	HIS	OWN	THROAT
41	HIS	MEN	WOULD
41	HIM	THEY	WOULD
41	HIM	FOR	WEECS
41	HIM	FOR	HOURS
41	HEAR	THIS	STORY
41	HEAR	HER	MOTHER
41	HEAR	BOTH	SIDES
41	HAD	NOT	BEGUN
41	GOES	FOR	ABOUT
41	GOT	OUR	FIRST
41	GET	THIS	MONEY
41	FOR	THIS	CRIME
41	FOR	TEN	HOURS
41	FOR	NEW	DRUGS
41	FOR	HER	AGAIN
41	FOR	ANY	GROUP
41	FOR	AIR	FORCE
41	FEAR	THAT	PEOPLE
41	EGG	AND	SPERM
41	DOES	NOT	MINCE
41	DO(I)NG	THAT	AGAIN
41	DID	YOU	MARRY
41	DID	NOT	OFTEN
41	CAN	NOT	ARGUE
41	BUT	SHE	LICES
41	BUT	ALL	RIGHT
41	BED	AND	STOOD
41	ARE	NOT	RUNN(I)NG
41	ARE	NOT	RIGHT
41	ARE	GO(I)NG	CRASY
41	ARE	BE(I)NG	SHOWN
41	ARE	BE(I)NG	MOUED
41	ARE	ALL	WORC(I)NG
41	ANY	MAN	COULD
41	AND	WHO	LATER
41	AND	THIS	GROUP
41	AND	THEY	HEADED
41	AND	OUT	COMES
41	AND	NEW	FORMS
41	AND	HOT	SAUCE
41	AND	HIS	INNER
41	AND	HEAD	START
41	AND	HER	HOUSE
41	ALL	WAS	RIGHT
41	ALL	TOO	WILL(I)NG
41	NOT	YOU	TRUST
41	NOT	WON	SINCE
40	YOU	NOT	AGREE
40	YOU	CAN	PRESS
40	WITH	THIS	PIECE
40	WITH	HER	FIONCE
40	WHY	YOU	CHOSE
40	WHO	WAS	SEUEN
40	WHO	WAS	BLACC
40	WHO	CAN	PROUE
40	WAS	TOO	CWICC
40	WAS	ITS	FIRST
40	WAS	NOT	WAIT(I)NG
40	WAS	NOT	TIRED
40	WAR	WAS	ABOUT
40	WAR	THAT	ENDED
40	THIS	ONE	NIGHT
40	THIS	MAN	COULD
40	THEY	CAN	FIGHT
40	THEY	ARE	WINN(I)NG
40	THEY	ARE	STUCC
40	THEY	ARE	RATHER
40	THEN	SHE	TRIED
40	THAT	YOU	SPOCE
40	THAT	WAS	UNTIL
40	THAT	THIS	FIND(I)NG
40	THAT	ONE	RIGHT
40	THAT	HAD	DRAWN
40	SHE	WAS	SEEC(I)NG
40	SHE	WAS	RAIS(I)NG
40	SHE	WAS	FIND(I)NG
40	SHE	SET	ABOUT
40	SHE	HAS	ASCED
40	SEE	HOW	CLOSE
40	SAY	THEY	OFTEN
40	PUT	THIS	STUFF
40	PER	YEAR	SINCE
40	OWN	TWO	HANDS
40	OUT	THIS	SEASON
40	OUT	HIS	FIRST
40	OUT	FOR	PEOPLE
40	ONE	WHO	WORCS
40	ONE	WHO	NEUER
40	ONE	WHO	LOOCS
40	ONE	WHO	LIUED
40	OFF	HIS	STOOL
40	NOW	SHE	LOOCS
40	NOT	HIS	MOTHER
40	NOT	HEAR	ABOUT
40	MUD	AND	WATER
40	MET	FOR	LUNCH
40	MEN	WHO	LIUED
40	MAN	HAD	NEUER
40	HIS	REAL	FATHER
40	HIM	FOR	ANYTH(I)NG
40	HEAR	HIM	TALC(I)NG
40	HAS	NOT	BEGUN
40	HAD	TWO	SACCS
40	HAD	NOT	FULLY
40	GET	OUT	WHILE
40	FOR	SHE	COULD
40	FOR	HIS	NOUEL
40	FOR	GO(I)NG	AFTER
40	DOES	NOT	OFTEN
40	DID	THAT	CHA(I)NGE
40	DID	NOT	PAUSE
40	CAN	YOU	REPEAT
40	BUT	WAS	REALLY
40	BUT	THIS	GROUP
40	BUT	THEY	APPEAR
40	BUT	ONE	MORN(I)NG
40	BIT	HIS	LOWER
40	ARE	NOW	TURN(I)NG
40	ARE	NOW	SEEC(I)NG
40	ARE	NOT	SPEAC(I)NG
40	ARE	DO(I)NG	CWITE
40	ARE	ALL	AWARE
40	ANY	MAN	WOULD
40	AND	THIS	MOUIE
40	AND	THEY	ARGUE
40	AND	THEN	PRESS
40	AND	THEN	LETT(I)NG
40	AND	THAT	TELLS
40	AND	TWO	BLACC
40	AND	TOM	DELAY
40	AND	SHE	WORCS
40	AND	SHE	ENDED
40	AND	SHE	CHOSE
40	AND	SHE	CALLS
40	AND	SAY	ANYTH(I)NG
40	AND	HOW	HAPPY
40	AND	HIS	IMAGE
40	AND	GET	DRUNC
40	AND	BR(I)NG	PEOPLE
40	AND	ASC	PEOPLE
40	AND	ALL	WOULD
39	YOU	CAN	TRADE
39	YOU	CAN	CNOCC
39	YOU	ARE	SELL(I)NG
39	YEAR	AND	COULD
39	WITH	THIS	CHA(I)NGE
39	WITH	TWO	DOSEN
39	WIN	THIS	FIGHT
39	WAY	THAT	WORCS
39	WAY	SHE	MOUED
39	WAS	THEN	ASCED
39	WAS	THAT	FIRST
39	WAS	ONE	POINT
39	WAS	NOT	NAMED
39	WAS	HIS	HABIT
39	WAS	NOT	UPSET
39	WAS	NOT	EITHER
39	THIS	WAS	BASED
39	THIS	CAN	OCCUR
39	THEY	HAD	ANYTH(I)NG
39	THEY	ARE	STAY(I)NG
39	THEM	THAT	WOULD
39	THAT	TH(I)NGS	MIGHT
39	THAT	THIS	MEET(I)NG
39	THAT	THIS	COURT
39	THAT	NOW	EXIST
39	THAT	HIS	UNCLE
39	THAT	FAR	APART
39	THAT	EACH	STATE
39	THAT	ARE	LARGE
39	THAT	ARE	AIMED
39	THAT	ANY	CHA(I)NGE
39	THAT	AND	MAYBE
39	THAT	ALL	FORMS
39	TWO	OLD	WOMEN
39	SHE	WAS	SOBB(I)NG
39	SHE	WAS	FUNNY
39	SHE	WAS	BLACC
39	SET	OFF	ALARM
39	SAY	TH(I)NGS	ABOUT
39	SAY	THAT	MAYBE
39	RED	WITH	BLOOD
39	PAN	AND	PLACE
39	OUT	THAT	SINCE
39	ONE	WHO	GIUES
39	ONE	WAS	WILL(I)NG
39	NOT	TOO	OFTEN
39	MAN	WHO	SAUED
39	LET	HIM	TOUCH
39	INC	AND	PAPER
39	HOW	THIS	PLAYS
39	HIT	HER	AGAIN
39	HIS	OWN	STUDIO
39	HIS	OWN	GLASS
39	HAD	ANY	RIGHT
39	GUN	AND	FIRES
39	FOR	ONE	FINAL
39	FOR	HIS	WHOLE
39	FOR	EACH	PIECE
39	FOR	EACH	LEUEL
39	EASY	BE(I)NG	GREEN
39	EACH	YEAR	UNTIL
39	DOES	NOT	TOUCH
39	DOES	NOT	SOUND
39	DID	NOT	MARRY
39	DID	NOT	DWELL
39	DID	NOT	DETER
39	DID	NOT	BREATHE
39	DAY	AND	NEUER
39	BUT	WITH	EUERY
39	BUT	WHO	NEEDS
39	BUT	THEN	PEOPLE
39	BUT	THAT	MONEY
39	BUT	THAT	LEAUES
39	BUS	AND	TRAIN
39	BOY	WHO	COULD
39	ARE	YOU	SEND(I)NG
39	ARE	FAR	APART
39	ARE	ALL	WITHIN
39	ARE	NOT	THINC(I)NG
39	ARE	NOT	STRO(I)NG
39	AND	THUS	BEGAN
39	AND	TH(I)NGS	WOULD
39	AND	THIS	STUFF
39	AND	THIS	HOUSE
39	AND	THEY	BUILT
39	AND	THEN	WORC(I)NG
39	AND	THEN	TODAY
39	AND	TWO	THIRDS
39	AND	SIX	TIMES
39	AND	SHE	HOLDS
39	AND	SHE	FALLS
39	AND	ONE	GROUP
39	AND	HOW	MIGHT
39	AND	HIS	WORCS
39	AND	HAS	ABOUT
39	AND	ARE	ABOUT
39	ALL	THAT	ABOUT
38	YOU	GET	HU(I)NGRY
38	YOU	CAN	MATCH
38	YEAR	AND	STILL
38	YET	SHE	STILL
38	WITH	THEM	WOULD
38	WITH	LO(I)NG	BLOND
38	WITH	ITS	SMALL
38	WITH	ITS	BROAD
38	WITH	HIS	PALMS
38	WITH	HER	WHITE
38	WHO	ARE	SELL(I)NG
38	WAY	TOO	CLOSE
38	WAS	ONE	WOMAN
38	WAS	BE(I)NG	SPENT
38	WAS	NOT	LETT(I)NG
38	WAS	NOT	ABOUE
38	THIS	NEW	FIELD
38	THIS	MAY	CAUSE
38	THEY	ARE	GROWN
38	THEY	ALL	LOUED
38	THAT	YOU	PEOPLE
38	THAT	YOU	OFTEN
38	THAT	WAS	RATHER
38	THAT	THIS	SEASON
38	THAT	THIS	MODEL
38	THAT	THEY	TRULY
38	THAT	MAN	WOULD
38	THAT	CAN	RAISE
38	THAT	ARE	CILL(I)NG
38	TOP	EACH	SERU(I)NG
38	SHE	WAS	SWEAT(I)NG
38	SHE	WAS	LETT(I)NG
38	SHE	WAS	BLIND
38	SHE	LAY	STILL
38	SHE	HAD	FLOWN
38	SHE	CAN	WATCH
38	SEE	THIS	PLACE
38	SEE	AND	TOUCH
38	PUT	THEM	RIGHT
38	PAY	HIS	TAXES
38	OUT	HIS	UISION
38	OUT	AND	PEOPLE
38	OUR	OWN	PLACE
38	ONE	WHO	FEELS
38	ONE	WHO	COMES
38	ONE	THAT	BEGAN
38	ONE	DAY	WOULD
38	NOT	AND	WOULD
38	MAY	NOT	OFFER
38	MAN	WITH	WHITE
38	LO(I)NG	AND	OFTEN
38	LET	THEM	WATCH
38	HIS	OWN	BREATH(I)NG
38	HIS	OLD	HOUSE
38	HEAD	AND	HANDS
38	HER	TWO	SMALL
38	HER	HEAD	WHILE
38	HAS	NOW	MOUED
38	HAD	FOR	LUNCH
38	HAD	NOT	CARED
38	GET	THEM	RIGHT
38	GET	OUR	FIRST
38	FOR	OUR	WEDD(I)NG
38	FOR	ITS	STRO(I)NG
38	FOR	HIS	HOUSE
38	FOR	EACH	SHARE
38	FOR	BE(I)NG	WILL(I)NG
38	DUE	OUT	LATER
38	DOES	THIS	CHA(I)NGE
38	DOES	NOT	START
38	DOES	NOT	OFTEN
38	DOES	NOT	CLAIM
38	DO(I)NG	THIS	SINCE
38	DO(I)NG	ALL	SORTS
38	DID	NOT	PLACE
38	DID	NOT	IMPLY
38	DID	NOT	ADOPT
38	DID	NOT	STUDY
38	CAN	YOU	SMELL
38	CAN	YOU	POINT
38	CAN	YOU	OFFER
38	CAN	YOU	CHA(I)NGE
38	BUT	SHE	HATED
38	BUT	NOT	MUSHY
38	ARE	NOT	WORTHY
38	ARE	NOT	FULLY
38	ANY	YEAR	SINCE
38	AND	YET	PEOPLE
38	AND	WITH	PEOPLE
38	AND	WHO	STILL
38	AND	WHO	LOSES
38	AND	THEN	CREATE
38	AND	THAT	SOCIOL
38	AND	THAT	LOOCS
38	AND	OUR	FATHER
38	AND	NOW	WANTS
38	AND	LAY	STILL
38	AND	HIS	THROAT
38	AND	FRY	UNTIL
38	AND	EGG	YOLCS
38	AND	CAN	STILL
38	AND	CAN	SERUE
38	AND	CAN	OFFER
38	AND	ARE	GETT(I)NG
37	YOU	PAY	TAXES
37	YOU	DO(I)NG	ANYTH(I)NG
37	YOU	CAN	CROSS
37	YOU	CAN	BOOST
37	YOU	BOTH	AGREE
37	YOU	ARE	CLOSE
37	WITH	THIS	MONEY
37	WITH	ITS	USUAL
37	WITH	HIS	PLANS
37	WHO	WAS	MISS(I)NG
37	WHO	HAS	REALLY
37	WHO	ARE	PRONE
37	WHO	ARE	FEEL(I)NG
37	WHO	ARE	ALIUE
37	WAY	THAT	GIUES
37	WAS	SHE	TALC(I)NG
37	WAS	NOW	SITT(I)NG
37	WAS	HIS	USUAL
37	WAS	NOT	WRIT(I)NG
37	TH(I)NGS	ARE	ABOUT
37	THIS	ONE	SEEMS
37	THIS	FOR	MONTHS
37	THEY	SAY	COULD
37	THEY	GET	CLOSE
37	THEY	ARE	LUCCY
37	THEN	THEY	TRIED
37	THEN	HER	UOICE
37	THEM	ALL	RIGHT
37	THAT	YOU	CARRY
37	THAT	WAS	RUNN(I)NG
37	THAT	THEY	BEGIN
37	THAT	SHE	STOOD
37	THAT	HAD	NEARLY
37	THAN	FOR	WOMEN
37	THAN	FOR	MALES
37	TWO	MEN	COULD
37	SHE	WAS	COOC(I)NG
37	SHE	HAS	BUILT
37	SAW	HER	FIRST
37	SAT	FOR	HOURS
37	RUN	THIS	PLACE
37	PAY	HER	BILLS
37	OUT	ITS	FIRST
37	OUT	AND	NEUER
37	OUT	ALL	CINDS
37	OUR	OWN	STATE
37	OUR	OWN	HOMES
37	ONE	THAT	CEEPS
37	OIL	AND	GREASE
37	OFF	HER	BOOTS
37	NOW	THAT	COULD
37	NOW	BE(I)NG	BUILT
37	NOT	THAT	EITHER
37	NOT	SIT	STILL
37	NOT	AND	COULD
37	MET	HIS	MATCH
37	MAN	WHO	CALLS
37	HOW	SHE	WANTS
37	HIS	OWN	SWORD
37	HAS	NOW	SPREAD
37	HAS	NOT	GROWN
37	HAD	NOT	CWITE
37	GUY	WHO	NEUER
37	FOR	YOU	AFTER
37	FOR	THEM	AGAIN
37	FOR	TWO	TERMS
37	FOR	NOT	LETT(I)NG
37	FOR	ITS	BEAUTY
37	FOR	HIM	UNTIL
37	FOR	ALL	SIDES
37	DID	YOU	SENSE
37	DID	NOT	SMOCE
37	DID	NOT	FORCE
37	DID	NOT	CLOSE
37	DID	NOT	APPEAL
37	DID	HIS	FIRST
37	DEAL	WITH	ANYTH(I)NG
37	CAN	NOT	REUEAL
37	CAN	NOT	BREATHE
37	BUT	YOU	ASCED
37	BUT	NOT	BROWN
37	BUT	FOR	RIGHT
37	AND	WAS	MOUED
37	AND	THIS	WORLD
37	AND	THEN	SHARE
37	AND	THEN	OFFER
37	AND	THAT	POINT
37	AND	THAT	OUGHT
37	AND	SHE	PLANS
37	AND	HER	TO(I)NGUE
37	AND	HAS	BUILT
37	AND	DEATH	THREATS
37	AND	ALL	PEOPLE
37	NOT	GOT	ANYTH(I)NG
36	YOU	SEE	SIGNS
36	YOU	LET	PEOPLE
36	YOU	HAD	GIUEN
36	YOU	CAN	AGREE
36	WITH	TAP	WATER
36	WITH	ICE	WATER
36	WITH	HIS	UIEWS
36	WHY	THEY	MIGHT
36	WHO	WAS	BLIND
36	WHO	HAS	THROWN
36	WHO	CAN	OFFER
36	WHO	ARE	STAY(I)NG
36	WHO	ARE	RIGHT
36	WAY	THAT	SEEMS
36	WAY	ONE	MIGHT
36	WAS	NOT	TRULY
36	WAS	MAD	ABOUT
36	WAS	BE(I)NG	SHOWN
36	WAS	ALL	CINDS
36	WAS	NOT	SELL(I)NG
36	WAR	HAD	ENDED
36	THIS	ONE	SMALL
36	THIS	ALL	COMES
36	THEY	SAY	ANYTH(I)NG
36	THEY	MAY	START
36	THEY	GOT	STUCC
36	THEY	ARE	THROW(I)NG
36	THEY	ARE	TOUGH
36	THEY	ARE	ECWAL
36	THEY	ARE	CUTT(I)NG
36	THEY	ARE	AFTER
36	THEN	YOU	BEGIN
36	THEN	SET	ABOUT
36	THAT	YOU	EITHER
36	THAT	YOU	CHOSE
36	THAT	WITH	EUERY
36	THAT	WAS	WEIRD
36	THAT	THIS	FIRST
36	THAT	THEY	UOTED
36	THAT	THEY	MOUED
36	THAT	THAT	MONEY
36	THAT	SHE	TACES
36	THAT	MAY	SERUE
36	THAT	HER	WORDS
36	THAT	HAS	STOOD
36	THAT	ARE	LOWER
36	TAX	THAT	WOULD
36	SHE	HAD	MONEY
36	SHE	HAD	LICED
36	SEX	WITH	WOMEN
36	PUT	TH(I)NGS	RIGHT
36	PUT	THIS	ISSUE
36	ONE	HAS	FOUND
36	OLD	MAN	SITT(I)NG
36	NOW	SHE	CNOWS
36	NOT	TOO	SWEET
36	NOT	TOO	STRO(I)NG
36	NOT	HIS	STYLE
36	NOT	HER	FATHER
36	MEAN	THEY	WOULD
36	MEN	ARE	OFTEN
36	MAY	NOT	MATCH
36	MAN	WHO	HOLDS
36	MAN	WHO	BROCE
36	LO(I)NG	AND	ABOUT
36	ITS	OWN	STATE
36	ITS	NOT	REALLY
36	HIS	OWN	WORCS
36	HIS	JOB	AFTER
36	HIS	DEATH	WOULD
36	HEAD	AND	BEGAN
36	HER	HEAD	THROWN
36	HER	FOR	ABOUT
36	HAS	NOT	CWITE
36	HAD	SHE	REALLY
36	HAD	NOT	DARED
36	FOR	THIS	SMALL
36	FOR	THIS	AWARD
36	FOR	THAT	STUFF
36	FOR	TAX	BREACS
36	FOR	REAL	CHA(I)NGE
36	FOR	OUR	FINAL
36	FOR	NEW	HOUS(I)NG
36	FOR	HIS	SMALL
36	FEAR	AND	PANIC
36	DOES	NOT	ENTER
36	DOES	NOT	REUEAL
36	DOES	NOT	FIGHT
36	DID	NOT	STUDY
36	DID	NOT	BUDGE
36	DID	NOT	MINCE
36	DID	NOT	GRASP
36	DID	NOT	CLAIM
36	DAY	WAS	SPENT
36	DAY	THAT	WOULD
36	DAY	SHE	FOUND
36	DAY	FOR	ABOUT
36	CAN	NOT	MARRY
36	CAN	NOT	APPLY
36	BUT	FOR	WHICH
36	BED	WAS	EMPTY
36	AREA	THAT	COULD
36	ARE	YOU	HEADED
36	ARE	NOT	LARGE
36	ARE	NOT	HELP(I)NG
36	ARE	NOT	CLOSE
36	ARE	NOT	CALL(I)NG
36	ARE	BE(I)NG	URGED
36	ARE	ALL	ALICE
36	ARE	NOT	SELL(I)NG
36	AND	YOU	CHA(I)NGE
36	AND	THIS	CHILD
36	AND	THEY	CARRY
36	AND	THEY	ALLOW
36	AND	THEN	TRIES
36	AND	THEN	GIUES
36	AND	THEN	FALL(I)NG
36	AND	THEN	CHA(I)NGE
36	AND	THAT	ANYTH(I)NG
36	AND	SIX	HOURS
36	AND	ONE	FINAL
36	AND	NOT	EASILY
36	AND	ITS	MOONS
36	AND	ITS	LARGE
36	AND	HIS	COACH
36	AND	HER	DRESS
36	AND	HER	CHEST
36	AND	HER	BLOOD
36	AND	HAS	CNOWN
36	AND	HAD	CNOWN
36	AND	CAN	CREATE
36	AND	CAN	CHA(I)NGE
36	AND	ARE	NEUER
36	AND	ARE	ASCED
36	ALL	THIS	SEEMS
36	ALL	HIS	BOOCS
36	ALL	HER	FAULT
35	YOU	SAY	HELLO
35	YOU	FOR	WRIT(I)NG
35	YOU	FOR	CEEP(I)NG
35	YOU	DO(I)NG	ABOUT
35	YEAR	THAT	BEGAN
35	WITH	THEM	RIGHT
35	WITH	ONE	SMALL
35	WITH	HOT	SAUCE
35	WITH	HIS	HORSE
35	WITH	HIS	CHEST
35	WITH	HIS	BOOTS
35	WITH	EACH	GROUP
35	WHO	WAS	STAY(I)NG
35	WHO	ARE	WALC(I)NG
35	WHO	ARE	CREAT(I)NG
35	WHO	ARE	ASCED
35	WAY	THEY	MIGHT
35	WAS	TOO	TIGHT
35	USE	HIS	HANDS
35	TH(I)NGS	WITH	WHICH
35	TH(I)NGS	GET	REALLY
35	THIS	OIL	SPILL
35	THIS	NEW	GROUP
35	THIS	HAD	NEUER
35	THIS	GUY	RIGHT
35	THEY	SAY	WOULD
35	THEY	CAN	SOLUE
35	THEY	ARE	BREAC(I)NG
35	THEN	TWO	WEECS
35	THEN	ONE	EUEN(I)NG
35	THEN	AND	STILL
35	THEM	WITH	OTHERS
35	THAT	YOU	SHARE
35	THAT	YOU	CREATE
35	THAT	WAS	THROWN
35	THAT	THIS	NOTION
35	THAT	THEY	ALONE
35	THAT	THEY	AGREE
35	THAT	OLD	WOMAN
35	THAT	HIS	UIEWS
35	THAT	HIS	MUSIC
35	THAT	HAD	SPRU(I)NG
35	THAT	HAD	SPREAD
35	THAT	DAY	AFTER
35	THAT	CAN	PROUE
35	THAT	CAN	OFFER
35	THAT	ARE	GROWN
35	THAT	ANY	HUMAN
35	THAN	HIS	USUAL
35	SIT	AND	STARE
35	SHE	WAS	CLEAN(I)NG
35	SHE	WAS	BORED
35	SHE	HAD	BREAST
35	SHE	HAD	ANYTH(I)NG
35	SHE	CAN	REALLY
35	SHE	CAN	CARRY
35	SEE	THIS	ISSUE
35	PUT	THEM	ASIDE
35	PAY	OFF	DEBTS
35	OUT	FOR	HOURS
35	OUT	AND	REALLY
35	OUT	AND	FIND(I)NG
35	ONE	WAS	REALLY
35	ONE	WAS	FOUND
35	ONE	HAS	TACEN
35	OFF	AND	LAND(I)NG
35	NOT	YET	RATED
35	NOT	TOO	PROUD
35	NOT	SAY	WHICH
35	MET	WITH	MIXED
35	MAN	WHO	STILL
35	MAN	WHO	SPEACS
35	LO(I)NG	AND	HEALTHY
35	LET	HIM	DRIUE
35	LAY	HIS	HANDS
35	JAM	AND	TERRY
35	ITS	OWN	STOCC
35	ITS	NOT	ABOUT
35	IDEA	THAT	EUERY
35	IDEA	THAT	COULD
35	HOW	TH(I)NGS	WOULD
35	HIM	AND	STOOD
35	HEAT	AND	WHISC
35	HAS	NOT	GROWN
35	HAS	ITS	FIRST
35	HAS	NOT	SPENT
35	HAD	TWO	WEECS
35	HAD	TWO	MAJOR
35	HAD	NOT	TRIED
35	GUY	WHO	PLAYS
35	GET	OUT	AGAIN
35	FOR	THIS	ESSAY
35	FOR	THAT	EUEN(I)NG
35	FOR	THAT	CRIME
35	FOR	TWO	MAJOR
35	FOR	TEN	MONTHS
35	FOR	NEW	HIRES
35	FOR	HIS	WORDS
35	FOR	HIS	UNCLE
35	FOR	HIS	CHILD
35	FOR	EACH	SCILL
35	FOR	ALL	ITEMS
35	DOES	NOT	FOCUS
35	DOES	NOT	ALTER
35	DID	NOT	DWELL
35	DID	NOT	DRIUE
35	DID	NOT	BLINC
35	DID	NOT	PITCH
35	DID	NOT	ELECT
35	CAR	AND	WALCS
35	CAN	YOU	START
35	CAN	NOT	RAISE
35	BUT	THIS	REALLY
35	BUT	THIS	NIGHT
35	BUT	THEY	OUGHT
35	BUT	THEY	AGREE
35	ARE	TH(I)NGS	ABOUT
35	ARE	HIS	WORDS
35	ARE	GO(I)NG	RIGHT
35	ARE	ALL	BASED
35	AND	YOU	EITHER
35	AND	WAS	THINC(I)NG
35	AND	THEY	SERUE
35	AND	THEN	LEANED
35	AND	THEN	FALLS
35	AND	THEN	CHECC
35	AND	THEN	BURST
35	AND	THAT	WORCS
35	AND	THAT	STUFF
35	AND	THAT	RIGHT
35	AND	THAT	PLACE
35	AND	SHE	HOPES
35	AND	OUR	HOUSE
35	AND	LET	STEEP
35	AND	HOW	EASILY
35	AND	HIS	WRIT(I)NG
35	AND	HER	SENSE
35	AND	FAR	FEWER
35	ALL	THIS	COULD
35	ALL	THAT	MIGHT
35	ALL	ITS	PARTS
35	ALL	DAY	ABOUT
35	NOT	READ	ANYTH(I)NG
35	NOT	GET	BORED
34	YOU	THAT	NIGHT
34	YOU	MAY	START
34	YOU	HOW	HAPPY
34	YOU	GET	BORED
34	YOU	DID	TODAY
34	YOU	CAN	ALLOW
34	YOU	ARE	OLDER
34	WITH	THAT	CHILD
34	WITH	ONE	COUNT
34	WITH	HIS	FRONT
34	WITH	HER	TODAY
34	WITH	HER	SHORT
34	WHO	HAD	OWNED
34	WHO	ARE	TURN(I)NG
34	WHO	ARE	FOUND
34	WHO	ARE	DRAWN
34	WAS	TOO	TOUGH
34	WAS	NOT	WHERE
34	WAR	HAS	ENDED
34	USE	AND	CRIME
34	TH(I)NGS	GET	WORSE
34	THIS	NEW	PLACE
34	THEY	SET	ASIDE
34	THEY	HAD	UOTED
34	THEY	HAD	REASON
34	THEY	HAD	HIRED
34	THEM	ARE	CWITE
34	THAT	WAS	WORSE
34	THAT	WAS	CWICC
34	THAT	THIS	MONEY
34	THAT	THEY	UALUE
34	THAT	SHE	FIRST
34	THAT	MAY	STILL
34	THAT	MAN	COULD
34	THAT	FOR	WHICH
34	THAT	ARE	FULLY
34	THAT	ALL	SORTS
34	THAN	ANY	WOMAN
34	TRY	AND	BUILD
34	SHE	WAS	YELL(I)NG
